realtime_start,realtime_end,date,value
2026-09-18,2026-09-18,1978-11-01,0.0305
2026-09-18,2026-09-18,1978-12-01,0.0309
2026-09-18,2026-09-18,1979-01-01,0.0318
2026-09-18,2026-09-18,1979-02-01,0.0325
2026-09-18,2026-09-18,1979-03-01,0.0329
2026-09-18,2026-09-18,1979-04-01,0.0323
2026-09-18,2026-09-18,1979-05-01,0.0333
2026-09-18,2026-09-18,1979-06-01,0.0345
2026-09-18,2026-09-18,1979-07-01,0.034
2026-09-18,2026-09-18,1979-08-01,0.035
2026-09-18,2026-09-18,1979-09-01,0.0358
2026-09-18,2026-09-18,1979-10-01,0.0369
2026-09-18,2026-09-18,1979-11-01,0.0381
2026-09-18,2026-09-18,1979-12-01,0.0391
2026-09-18,2026-09-18,1980-01-01,0.04
2026-09-18,2026-09-18,1980-02-01,0.0406
2026-09-18,2026-09-18,1980-03-01,0.0405
2026-09-18,2026-09-18,1980-04-01,0.0414
2026-09-18,2026-09-18,1980-05-01,0.0405
2026-09-18,2026-09-18,1980-06-01,0.0393
2026-09-18,2026-09-18,1980-07-01,0.0385
2026-09-18,2026-09-18,1980-08-01,0.0393
2026-09-18,2026-09-18,1980-09-01,0.0393
2026-09-18,2026-09-18,1980-10-01,0.0399
2026-09-18,2026-09-18,1980-11-01,0.0404
2026-09-18,2026-09-18,1980-12-01,0.0416
2026-09-18,2026-09-18,1981-01-01,0.0421
2026-09-18,2026-09-18,1981-02-01,0.0423
2026-09-18,2026-09-18,1981-03-01,0.0426
2026-09-18,2026-09-18,1981-04-01,0.0438
2026-09-18,2026-09-18,1981-05-01,0.0446
2026-09-18,2026-09-18,1981-06-01,0.045
2026-09-18,2026-09-18,1981-07-01,0.0442
2026-09-18,2026-09-18,1981-08-01,0.0466
2026-09-18,2026-09-18,1981-09-01,0.048
2026-09-18,2026-09-18,1981-10-01,0.0491
2026-09-18,2026-09-18,1981-11-01,0.0491
2026-09-18,2026-09-18,1981-12-01,0.0496
2026-09-18,2026-09-18,1982-01-01,0.0491
2026-09-18,2026-09-18,1982-02-01,0.0512
2026-09-18,2026-09-18,1982-03-01,0.0508
2026-09-18,2026-09-18,1982-04-01,0.0508
2026-09-18,2026-09-18,1982-05-01,0.0515
2026-09-18,2026-09-18,1982-06-01,0.0523
2026-09-18,2026-09-18,1982-07-01,0.053
2026-09-18,2026-09-18,1982-08-01,0.0528
2026-09-18,2026-09-18,1982-09-01,0.0524
2026-09-18,2026-09-18,1982-10-01,0.0519
2026-09-18,2026-09-18,1982-11-01,0.0523
2026-09-18,2026-09-18,1982-12-01,0.0528
2026-09-18,2026-09-18,1983-01-01,0.0533
2026-09-18,2026-09-18,1983-02-01,0.0536
2026-09-18,2026-09-18,1983-03-01,0.0551
2026-09-18,2026-09-18,1983-04-01,0.056
2026-09-18,2026-09-18,1983-05-01,0.0574
2026-09-18,2026-09-18,1983-06-01,0.059
2026-09-18,2026-09-18,1983-07-01,0.0608
2026-09-18,2026-09-18,1983-08-01,0.0613
2026-09-18,2026-09-18,1983-09-01,0.0635
2026-09-18,2026-09-18,1983-10-01,0.0647
2026-09-18,2026-09-18,1983-11-01,0.0663
2026-09-18,2026-09-18,1983-12-01,0.0665
2026-09-18,2026-09-18,1984-01-01,0.0694
2026-09-18,2026-09-18,1984-02-01,0.0717
2026-09-18,2026-09-18,1984-03-01,0.0737
2026-09-18,2026-09-18,1984-04-01,0.0756
2026-09-18,2026-09-18,1984-05-01,0.0771
2026-09-18,2026-09-18,1984-06-01,0.0792
2026-09-18,2026-09-18,1984-07-01,0.0811
2026-09-18,2026-09-18,1984-08-01,0.0827
2026-09-18,2026-09-18,1984-09-01,0.0833
2026-09-18,2026-09-18,1984-10-01,0.0838
2026-09-18,2026-09-18,1984-11-01,0.0843
2026-09-18,2026-09-18,1984-12-01,0.0836
2026-09-18,2026-09-18,1985-01-01,0.0852
2026-09-18,2026-09-18,1985-02-01,0.0827
2026-09-18,2026-09-18,1985-03-01,0.0815
2026-09-18,2026-09-18,1985-04-01,0.078
2026-09-18,2026-09-18,1985-05-01,0.0795
2026-09-18,2026-09-18,1985-06-01,0.0796
2026-09-18,2026-09-18,1985-07-01,0.0761
2026-09-18,2026-09-18,1985-08-01,0.0761
2026-09-18,2026-09-18,1985-09-01,0.0746
2026-09-18,2026-09-18,1985-10-01,0.0745
2026-09-18,2026-09-18,1985-11-01,0.0748
2026-09-18,2026-09-18,1985-12-01,0.076
2026-09-18,2026-09-18,1986-01-01,0.0762
2026-09-18,2026-09-18,1986-02-01,0.0769
2026-09-18,2026-09-18,1986-03-01,0.0772
2026-09-18,2026-09-18,1986-04-01,0.0787
2026-09-18,2026-09-18,1986-05-01,0.0791
2026-09-18,2026-09-18,1986-06-01,0.0798
2026-09-18,2026-09-18,1986-07-01,0.0815
2026-09-18,2026-09-18,1986-08-01,0.0834
2026-09-18,2026-09-18,1986-09-01,0.085
2026-09-18,2026-09-18,1986-10-01,0.0856
2026-09-18,2026-09-18,1986-11-01,0.0873
2026-09-18,2026-09-18,1986-12-01,0.0902
2026-09-18,2026-09-18,1987-01-01,0.0924
2026-09-18,2026-09-18,1987-02-01,0.0941
2026-09-18,2026-09-18,1987-03-01,0.095
2026-09-18,2026-09-18,1987-04-01,0.0963
2026-09-18,2026-09-18,1987-05-01,0.0985
2026-09-18,2026-09-18,1987-06-01,0.1003
2026-09-18,2026-09-18,1987-07-01,0.1033
2026-09-18,2026-09-18,1987-08-01,0.1042
2026-09-18,2026-09-18,1987-09-01,0.1059
2026-09-18,2026-09-18,1987-10-01,0.1088
2026-09-18,2026-09-18,1987-11-01,0.1093
2026-09-18,2026-09-18,1987-12-01,0.1111
2026-09-18,2026-09-18,1988-01-01,0.1119
2026-09-18,2026-09-18,1988-02-01,0.1124
2026-09-18,2026-09-18,1988-03-01,0.1125
2026-09-18,2026-09-18,1988-04-01,0.1135
2026-09-18,2026-09-18,1988-05-01,0.115
2026-09-18,2026-09-18,1988-06-01,0.1168
2026-09-18,2026-09-18,1988-07-01,0.1184
2026-09-18,2026-09-18,1988-08-01,0.1197
2026-09-18,2026-09-18,1988-09-01,0.1212
2026-09-18,2026-09-18,1988-10-01,0.1225
2026-09-18,2026-09-18,1988-11-01,0.1249
2026-09-18,2026-09-18,1988-12-01,0.1264
2026-09-18,2026-09-18,1989-01-01,0.1256
2026-09-18,2026-09-18,1989-02-01,0.1247
2026-09-18,2026-09-18,1989-03-01,0.1231
2026-09-18,2026-09-18,1989-04-01,0.1253
2026-09-18,2026-09-18,1989-05-01,0.126
2026-09-18,2026-09-18,1989-06-01,0.128
2026-09-18,2026-09-18,1989-07-01,0.1284
2026-09-18,2026-09-18,1989-08-01,0.1324
2026-09-18,2026-09-18,1989-09-01,0.1351
2026-09-18,2026-09-18,1989-10-01,0.1366
2026-09-18,2026-09-18,1989-11-01,0.138
2026-09-18,2026-09-18,1989-12-01,0.1389
2026-09-18,2026-09-18,1990-01-01,0.1395
2026-09-18,2026-09-18,1990-02-01,0.1419
2026-09-18,2026-09-18,1990-03-01,0.1444
2026-09-18,2026-09-18,1990-04-01,0.1452
2026-09-18,2026-09-18,1990-05-01,0.146
2026-09-18,2026-09-18,1990-06-01,0.1475
2026-09-18,2026-09-18,1990-07-01,0.1474
2026-09-18,2026-09-18,1990-08-01,0.1482
2026-09-18,2026-09-18,1990-09-01,0.1509
2026-09-18,2026-09-18,1990-10-01,0.1523
2026-09-18,2026-09-18,1990-11-01,0.1538
2026-09-18,2026-09-18,1990-12-01,0.1547
2026-09-18,2026-09-18,1991-01-01,0.1565
2026-09-18,2026-09-18,1991-02-01,0.1601
2026-09-18,2026-09-18,1991-03-01,0.1621
2026-09-18,2026-09-18,1991-04-01,0.1624
2026-09-18,2026-09-18,1991-05-01,0.1664
2026-09-18,2026-09-18,1991-06-01,0.165
2026-09-18,2026-09-18,1991-07-01,0.1662
2026-09-18,2026-09-18,1991-08-01,0.168
2026-09-18,2026-09-18,1991-09-01,0.1661
2026-09-18,2026-09-18,1991-10-01,0.1678
2026-09-18,2026-09-18,1991-11-01,0.1677
2026-09-18,2026-09-18,1991-12-01,0.1697
2026-09-18,2026-09-18,1992-01-01,0.1758
2026-09-18,2026-09-18,1992-02-01,0.179
2026-09-18,2026-09-18,1992-03-01,0.1821
2026-09-18,2026-09-18,1992-04-01,0.1848
2026-09-18,2026-09-18,1992-05-01,0.1878
2026-09-18,2026-09-18,1992-06-01,0.1928
2026-09-18,2026-09-18,1992-07-01,0.1982
